"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"cci","EQ_DHS","PUBLISHED","2010","AFR","BFA","URB","76.8","76.76813","","",""
"cci","EQ_DHS","PUBLISHED","2007","SEAR","BGD","URB","73.9","73.89884","","",""
"cci","EQ_DHS","PUBLISHED","2000","AFR","GAB","URB","65.4","65.38726","","",""
"cci","EQ_DHS","PUBLISHED","2012","AFR","GAB","RUR","59.8","59.83083","","",""
"cci","EQ_MICS","PUBLISHED","2006","EMR","IRQ","RUR","72.4","72.38081","","",""
"cci","EQ_MICS","PUBLISHED","2011","EMR","IRQ","RUR","68.5","68.47504","","",""
"cci","EQ_DHS","PUBLISHED","2003","AFR","MOZ","RUR","58.0","57.96415","","",""
"cci","EQ_DHS","PUBLISHED","2011","AFR","MOZ","URB","72.3","72.31538","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","TGO","URB","57.7","57.70342","","",""
"cci","EQ_MICS","PUBLISHED","2006","EUR","TKM","RUR","80.3","80.29749","","",""
"cci","EQ_DHS","PUBLISHED","2001","AFR","ZMB","URB","75.9","75.87847","","",""
"cci","EQ_DHS","PUBLISHED","2007","AFR","ZMB","URB","78.0","77.95686","","",""
"cci","EQ_DHS","PUBLISHED","2006","EUR","AZE","URB","66.9","66.86618","","",""
"cci","EQ_DHS","PUBLISHED","1998","AMR","BOL","RUR","41.9","41.91343","","",""
"cci","EQ_DHS","PUBLISHED","1998","AMR","BOL","URB","66.2","66.18410","","",""
"cci","EQ_DHS","PUBLISHED","1999","AFR","GIN","URB","60.0","59.98191","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","GIN","URB","60.9","60.90932","","",""
"cci","EQ_MICS","PUBLISHED","2006","EUR","KAZ","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1998","AFR","KEN","RUR","63.6","63.58861","","",""
"cci","EQ_DHS","PUBLISHED","1996","SEAR","NPL","RUR","33.5","33.45554","","",""
"cci","EQ_DHS","PUBLISHED","2001","SEAR","NPL","URB","69.1","69.11452","","",""
"cci","EQ_MICS","PUBLISHED","2006","AMR","SUR","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1996","AFR","TCD","RUR","20.0","19.96647","","",""
"cci","EQ_DHS","PUBLISHED","2001","AFR","BEN","URB","63.4","63.41895","","",""
"cci","EQ_MICS","PUBLISHED","2006","SEAR","BGD","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2013","AFR","COD","RUR","55.2","55.15116","","",""
"cci","EQ_DHS","PUBLISHED","2005","AMR","COL","RUR","74.2","74.21289","","",""
"cci","EQ_DHS","PUBLISHED","2011","AMR","HND","URB","85.5","85.45727","","",""
"cci","EQ_MICS","PUBLISHED","2005","AMR","JAM","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2003","AFR","MOZ","URB","75.3","75.29389","","",""
"cci","EQ_MICS","PUBLISHED","2007","AFR","MRT","URB","60.1","60.05455","","",""
"cci","EQ_DHS","PUBLISHED","2000","AFR","RWA","URB","60.8","60.81739","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","RWA","URB","62.7","62.71554","","",""
"cci","EQ_DHS","PUBLISHED","2006","AFR","UGA","RUR","56.9","56.88813","","",""
"cci","EQ_DHS","PUBLISHED","2007","EUR","UKR","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1999","SEAR","BGD","URB","65.7","65.69267","","",""
"cci","EQ_DHS","PUBLISHED","2003","AMR","BOL","RUR","59.3","59.27898","","",""
"cci","EQ_DHS","PUBLISHED","2014","AFR","GHA","RUR","65.7","65.65267","","",""
"cci","EQ_DHS","PUBLISHED","1998","AMR","GTM","RUR","48.3","48.31266","","",""
"cci","EQ_DHS","PUBLISHED","2001","AFR","MLI","URB","62.1","62.12207","","",""
"cci","EQ_DHS","PUBLISHED","1997","AFR","MOZ","URB","68.5","68.45417","","",""
"cci","EQ_DHS","PUBLISHED","2008","AMR","PER","RUR","77.1","77.09703","","",""
"cci","EQ_DHS","PUBLISHED","2003","WPR","PHL","URB","80.1","80.14912","","",""
"cci","EQ_DHS","PUBLISHED","2000","AFR","UGA","URB","70.6","70.58571","","",""
"cci","EQ_MICS","PUBLISHED","2012","EUR","UKR","RUR","85.0","85.02293","","",""
"cci","EQ_DHS","PUBLISHED","1993","SEAR","BGD","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2007","SEAR","BGD","RUR","64.8","64.82398","","",""
"cci","EQ_MICS","PUBLISHED","2014","AMR","CUB","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1995","EMR","EGY","URB","70.9","70.85961","","",""
"cci","EQ_DHS","PUBLISHED","2005","WPR","KHM","RUR","61.6","61.57227","","",""
"cci","EQ_DHS","PUBLISHED","2014","WPR","KHM","URB","84.9","84.87446","","",""
"cci","EQ_DHS","PUBLISHED","1999","AFR","NGA","URB","59.3","59.32802","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","NGA","URB","62.6","62.60025","","",""
"cci","EQ_DHS","PUBLISHED","2012","AFR","SEN","URB","72.5","72.54327","","",""
"cci","EQ_MICS","PUBLISHED","2014","EUR","SRB","URB","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2010","AMR","SUR","RUR","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2012","EUR","UKR","URB","89.0","88.96439","","",""
"cci","EQ_DHS","PUBLISHED","1997","WPR","VNM","RUR","70.8","70.81956","","",""
"cci","EQ_MICS","PUBLISHED","2006","EUR","BIH","RUR","81.2","81.20263","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","BLR","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2013","AMR","DOM","RUR","83.7","83.66573","","",""
"cci","EQ_DHS","PUBLISHED","2000","AFR","ETH","URB","54.0","54.03311","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","ETH","URB","59.3","59.34875","","",""
"cci","EQ_DHS","PUBLISHED","2012","SEAR","IDN","URB","82.8","82.81995","","",""
"cci","EQ_DHS","PUBLISHED","1998","SEAR","IND","RUR","53.4","53.44970","","",""
"cci","EQ_MICS","PUBLISHED","2005","WPR","MNG","URB","82.6","82.64935","","",""
"cci","EQ_MICS","PUBLISHED","2010","WPR","MNG","RUR","85.6","85.55144","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","SEN","RUR","48.7","48.71877","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","SEN","URB","65.3","65.26457","","",""
"cci","EQ_DHS","PUBLISHED","2003","EUR","TUR","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2010","AFR","TZA","RUR","67.4","67.40740","","",""
"cci","EQ_DHS","PUBLISHED","1996","EUR","UZB","URB","81.3","81.32677","","",""
"cci","EQ_DHS","PUBLISHED","2013","AMR","DOM","URB","81.5","81.53476","","",""
"cci","EQ_DHS","PUBLISHED","2005","EMR","EGY","RUR","73.0","72.99885","","",""
